time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,4977,193.335,71220.4,2139.65,4217.95,5463.17,1.36346e+16,9.81104e+12,1.96814e+14,3.84689,1.29346,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
2,9959,193.335,71220.4,2055.42,3943.63,5483.78,1.37066e+16,9.99813e+12,1.99015e+14,3.73823,1.25703,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
3,14925,155.922,71220.4,1986.67,3782.34,5514.11,1.37067e+16,1.02334e+13,2.01465e+14,3.64113,1.22498,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
4,19882,185.366,71220.4,1921.86,3588.43,5613.02,1.3728e+16,1.05386e+13,2.06326e+14,3.54494,1.19259,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
5,24841,185.366,71220.4,1854.67,3375.44,5826.39,1.46525e+16,1.07597e+13,2.13424e+14,3.45368,1.15966,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
6,29789,168.412,71220.4,1798.22,3164.74,5829.11,1.47567e+16,1.09534e+13,2.16365e+14,3.37186,1.13356,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
7,34739,168.412,71220.4,1745.21,2981.27,6056.51,1.66932e+16,1.12999e+13,2.31974e+14,3.29474,1.11019,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
8,39690,165.51,71220.4,1698.9,2779.02,6062.22,1.6765e+16,1.14698e+13,2.34421e+14,3.22233,1.08476,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
9,44620,165.51,71220.4,1651.9,2594.11,6069.41,1.67659e+16,1.16233e+13,2.35652e+14,3.15293,1.06264,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
10,49547,165.51,64420.6,1616.32,2426.75,6069.59,1.67984e+16,1.17069e+13,2.36298e+14,3.09283,1.04279,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
11,54475,165.51,64420.6,1594.76,2388.66,6069.63,1.69416e+16,1.18148e+13,2.37827e+14,3.04287,1.02713,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
12,59399,180.638,64420.6,1561.41,2193.12,6069.73,1.80557e+16,1.20092e+13,2.46445e+14,2.98937,1.00643,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
13,64318,180.638,47774.3,1528.8,1968.52,6072.56,1.86505e+16,1.21262e+13,2.51047e+14,2.9375,0.988212,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
14,69240,180.638,47774.3,1506.66,1872.58,6129.16,1.86508e+16,1.22078e+13,2.51754e+14,2.89245,0.972469,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
15,74144,180.638,38673,1482.5,1758.16,6207.41,1.8651e+16,1.23755e+13,2.54393e+14,2.84665,0.958765,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
16,79025,180.638,29241.9,1464.09,1673.62,6337.67,1.86512e+16,1.2445e+13,2.54729e+14,2.80725,0.945641,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
17,83933,180.638,29241.9,1449.99,1637.36,6340.21,1.89199e+16,1.25068e+13,2.56786e+14,2.77245,0.932782,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
18,88823,180.638,29241.9,1438.43,1599.89,6359.35,1.89228e+16,1.25546e+13,2.57336e+14,2.74361,0.923776,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
19,93718,180.638,27701.7,1421.98,1527.47,6570.74,1.89328e+16,1.25895e+13,2.57527e+14,2.71004,0.913166,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
20,98572,180.638,27701.7,1407.21,1455.39,6579.06,1.89373e+16,1.26424e+13,2.5818e+14,2.68172,0.90426,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
21,103426,180.638,27701.7,1398.72,1427.38,6618.56,1.89422e+16,1.2687e+13,2.58613e+14,2.65781,0.896868,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
22,108284,180.638,27701.7,1388.87,1402.88,6619.53,1.8973e+16,1.27344e+13,2.59074e+14,2.63331,0.888019,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
23,113117,207.88,27701.7,1381.19,1378.14,6620.97,1.89965e+16,1.27647e+13,2.59437e+14,2.61339,0.880402,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
24,117943,208.734,27701.7,1372.77,1350.21,6698.33,1.97174e+16,1.28667e+13,2.65019e+14,2.59161,0.87303,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
25,122776,207.728,27701.7,1366.14,1325.85,6698.58,1.97174e+16,1.29232e+13,2.66017e+14,2.57343,0.866916,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
26,127588,207.728,26176.9,1358.79,1306.41,6726.66,1.98719e+16,1.29629e+13,2.67324e+14,2.55567,0.860666,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
27,132381,207.728,25785.9,1355.1,1291.2,6739.34,1.98727e+16,1.29839e+13,2.67496e+14,2.54217,0.856308,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
28,137179,207.728,25785.9,1351.63,1280.73,6743.21,1.9873e+16,1.3005e+13,2.67619e+14,2.52986,0.851811,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
29,141992,207.728,25785.9,1346.75,1264.3,6776.73,2.02956e+16,1.30675e+13,2.70908e+14,2.51557,0.846287,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
30,146761,207.728,25785.9,1343.68,1257.87,6802.2,2.02964e+16,1.30871e+13,2.71036e+14,2.50365,0.842565,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
31,151554,211.034,25723.9,1341.95,1256.88,6804.4,2.04407e+16,1.31264e+13,2.72286e+14,2.49391,0.839636,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
32,156317,211.034,25595.8,1338.68,1248.8,6961.04,2.05344e+16,1.31801e+13,2.73895e+14,2.48435,0.836354,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
33,161055,211.034,25595.8,1335.76,1239.49,6977.53,2.05346e+16,1.31923e+13,2.74e+14,2.47669,0.8337,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
34,165779,220.24,25595.8,1332.85,1235.15,6985.52,2.06037e+16,1.32099e+13,2.74558e+14,2.46785,0.830511,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
35,170454,222.199,25595.8,1330.09,1228.61,6986.54,2.06142e+16,1.32217e+13,2.74703e+14,2.45944,0.827397,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
36,175154,223.353,25595.8,1327.47,1222.28,7045.35,2.06142e+16,1.32363e+13,2.74916e+14,2.45264,0.824971,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
37,179827,223.353,25595.8,1324.04,1210.34,7045.36,2.0633e+16,1.32482e+13,2.75126e+14,2.44476,0.82278,193.335,71220.4,0.01,0.99,-1,10000,10,0.01,-2,0.01,100,90
