time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,49749,174.062,84674,2100.87,4003.16,646.997,8.43478e+16,1.09194e+13,4.23084e+14,3.8463,1.28513,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
2,99401,147.79,84674,2014.27,3743.06,663.972,8.48503e+16,1.11235e+13,4.25505e+14,3.73674,1.24797,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
3,149041,147.79,78468.9,1944.53,3530.55,671.985,8.5067e+16,1.13881e+13,4.31441e+14,3.63799,1.21529,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
4,198617,155.88,78468.9,1881.61,3343.05,672.6,8.51327e+16,1.15989e+13,4.33242e+14,3.54505,1.18361,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
5,248181,143.904,78468.9,1824.79,3174.08,680.159,8.99851e+16,1.18593e+13,4.46567e+14,3.45823,1.15448,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
6,297654,106.856,78468.9,1770.9,2988.81,690.377,8.99894e+16,1.20235e+13,4.48337e+14,3.37616,1.12833,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
7,347136,106.856,78468.9,1723.16,2814.51,693.59,9.02656e+16,1.21668e+13,4.50601e+14,3.30148,1.10271,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
8,396540,106.856,78468.9,1680.76,2657.07,696.211,9.21555e+16,1.23419e+13,4.56668e+14,3.23109,1.07928,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
9,445904,106.856,78468.9,1642.54,2527.24,696.244,9.22027e+16,1.24613e+13,4.58649e+14,3.16541,1.05711,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
10,495251,106.856,78468.9,1607.76,2393.19,706.242,9.24852e+16,1.25931e+13,4.60659e+14,3.1043,1.03652,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
11,544503,106.856,78468.9,1577.56,2279.17,707.332,9.26522e+16,1.26899e+13,4.62257e+14,3.0484,1.01781,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
12,593685,126.192,78468.9,1550.23,2177.2,723.492,9.29847e+16,1.27958e+13,4.64203e+14,2.99652,1.00079,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
13,642831,123.96,64669.1,1525.82,2069.03,723.77,9.44804e+16,1.29402e+13,4.73236e+14,2.94889,0.985081,174.062,84674,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
