time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,49753,131.162,78736.2,2184.87,4170.47,60.0237,141.175,96.6293,10.6535,3.94245,1.32011,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
2,99516,131.162,78736.2,2165.75,4092.76,60.5857,141.175,97.0146,10.6506,3.91134,1.30956,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
3,149300,160.945,78736.2,2146.69,4018.93,61.0784,141.23,97.3851,10.6472,3.88016,1.29892,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
4,199012,160.945,78736.2,2127.93,3951.54,61.0965,141.976,97.7462,10.6481,3.84929,1.28857,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
5,248762,160.945,71986.2,2108.93,3874.85,61.9116,141.977,98.0939,10.648,3.8194,1.27837,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
6,298508,170.515,70718.8,2090.68,3801.21,62.0478,142.788,98.4306,10.6519,3.79026,1.26864,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
7,348230,170.515,70718.8,2072.62,3729.56,62.1411,143.432,98.7511,10.6542,3.76155,1.25903,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
8,397954,171.167,64233.2,2055.38,3660.42,62.2404,143.436,99.06,10.6596,3.73373,1.25004,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
9,447675,171.167,59656.5,2039.01,3594.6,62.4185,145.477,99.3588,10.6644,3.70689,1.24114,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
10,497414,171.167,59656.5,2022.39,3526.39,62.4953,145.504,99.6471,10.6697,3.68007,1.23213,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
11,547147,172.299,59656.5,2006.7,3467.72,63.3774,146.418,99.9238,10.6765,3.65441,1.22346,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
12,596872,172.299,59656.5,1991.23,3409,64.0027,146.715,100.19,10.6838,3.62942,1.21503,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
13,646568,172.299,59656.5,1975.33,3343.74,64.0064,149.258,100.447,10.6903,3.60442,1.20662,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
14,696259,172.299,59656.5,1960.89,3291.62,64.155,150.447,100.697,10.6974,3.58023,1.19846,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
15,745940,192.243,59656.5,1945.26,3227.74,64.3714,150.681,100.941,10.7041,3.5557,1.19005,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
16,795641,192.243,59656.5,1931.48,3176.09,64.3783,151.689,101.173,10.7131,3.53265,1.18237,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
17,845279,192.243,56019.5,1917.7,3120.14,64.4525,152.172,101.397,10.7219,3.50997,1.17488,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
18,894952,192.243,53206.8,1904.09,3067.13,64.6405,153.926,101.612,10.7345,3.48776,1.1673,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
19,944577,198.261,53206.8,1891.26,3018.11,65.1583,153.926,101.821,10.7469,3.46596,1.15991,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
20,994251,198.261,53206.8,1878.43,2971.37,65.2346,155.131,102.022,10.7596,3.44452,1.15266,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
21,1043907,198.261,53206.8,1865.46,2919.69,65.861,155.131,102.217,10.7708,3.42331,1.14553,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
22,1093514,206.293,53206.8,1853.14,2872.55,65.8624,155.29,102.405,10.7826,3.40277,1.13865,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
23,1143159,206.293,53206.8,1841.21,2827.01,66.0939,155.291,102.585,10.7954,3.38277,1.13177,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
24,1192807,206.293,53206.8,1828.99,2780.94,66.1459,155.294,102.761,10.8084,3.36257,1.1248,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
25,1242428,206.293,52902.9,1817.5,2738.69,66.1623,155.317,102.932,10.8204,3.34287,1.11814,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
26,1292056,207.35,52902.9,1806.19,2696.69,66.1909,156.303,103.093,10.8329,3.32372,1.11169,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
27,1341600,207.35,52902.9,1794.76,2655.43,66.2568,156.305,103.25,10.8435,3.30478,1.10538,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
28,1391163,207.35,52902.9,1783.89,2619.11,66.2578,156.347,103.402,10.8569,3.28604,1.09914,131.162,78736.2,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
