time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,49786,147.776,95060.6,2176.63,4161.84,61.0478,138.461,96.5707,10.6041,3.94003,1.31889,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
2,99550,157.516,95060.6,2157.28,4087.61,61.0888,139.649,96.955,10.6021,3.90807,1.30818,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
3,149314,157.516,95060.6,2138.5,4017.39,61.5884,140.36,97.3275,10.6027,3.87693,1.29797,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
4,199041,157.516,95060.6,2119.3,3940.57,61.6925,140.599,97.6865,10.6063,3.8459,1.28739,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
5,248792,157.516,95060.6,2100.89,3868.89,62.2205,140.6,98.0362,10.6076,3.81609,1.27755,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
6,298534,157.516,95060.6,2083.35,3800.97,62.5304,140.705,98.3699,10.6091,3.78717,1.26778,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
7,348284,157.516,95060.6,2066.09,3731.24,62.6869,142.016,98.6905,10.6119,3.75905,1.25838,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
8,398001,157.516,95060.6,2049.05,3666.66,62.9488,142.056,99.0026,10.6158,3.73111,1.24905,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
9,447735,157.516,95060.6,2032.34,3602.98,62.9822,142.786,99.3041,10.622,3.70376,1.23999,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
10,497471,157.516,95060.6,2016.88,3546.42,63.3659,142.806,99.5914,10.6267,3.67734,1.2311,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
11,547176,157.516,82456,2000.99,3482.54,64.4484,143.336,99.8696,10.6333,3.65123,1.22251,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
12,596881,157.516,74559,1984.82,3416.99,65.5608,143.75,100.138,10.6402,3.62561,1.21396,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
13,646580,172.275,74559,1969.14,3353,65.998,145.91,100.395,10.6496,3.60076,1.20556,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
14,696260,172.275,74559,1954.27,3297.3,66.0114,146.884,100.644,10.6611,3.57633,1.19737,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
15,745946,172.275,67947.9,1939.91,3242.71,66.0147,147.692,100.885,10.67,3.55266,1.18945,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
16,795611,172.275,67947.9,1925.55,3186.86,66.1017,148.475,101.118,10.6807,3.52921,1.18177,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
17,845272,172.275,67947.9,1911.41,3132.61,66.1034,149.1,101.341,10.6924,3.50606,1.17407,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
18,894911,172.275,67947.9,1897.34,3076.16,66.113,149.156,101.559,10.703,3.48335,1.16624,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
19,944592,179.265,67947.9,1884.32,3023.4,66.1144,150.035,101.767,10.7138,3.46142,1.15883,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
20,994259,179.265,67947.9,1871.53,2975.2,66.186,150.075,101.97,10.7267,3.43996,1.15172,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
21,1043897,179.265,63038.8,1858.68,2924.39,66.1887,150.679,102.166,10.7384,3.41862,1.1446,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
22,1093553,179.265,63038.8,1846.18,2874.74,66.189,151.224,102.353,10.7534,3.39781,1.13769,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
23,1143182,179.265,63038.8,1834.2,2829.24,66.5946,151.242,102.533,10.7665,3.37767,1.13085,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
24,1192850,179.265,63038.8,1821.82,2778.85,66.6095,151.457,102.71,10.7791,3.3575,1.12404,147.776,95060.6,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
