time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,49790,137.778,90965.5,2191.8,4225.55,61.3212,137.837,96.6061,10.6578,3.94192,1.31901,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
2,99563,137.778,82588.1,2173.46,4154.17,61.9511,138.672,96.9908,10.654,3.91102,1.30892,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
3,149323,137.778,82588.1,2154.76,4082.58,62.2988,139.122,97.3596,10.652,3.88055,1.29872,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
4,199087,137.778,82588.1,2135.88,4004.65,62.3442,139.381,97.7199,10.652,3.85071,1.28885,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
5,248825,137.778,82588.1,2118.22,3936.82,62.8445,139.902,98.0648,10.6542,3.82156,1.27917,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
6,298573,147.114,82588.1,2100.37,3863.13,62.8792,140.066,98.3968,10.6583,3.7929,1.26966,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
7,348301,147.114,82588.1,2083.22,3799.24,62.9194,140.162,98.7181,10.6633,3.76476,1.26018,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
8,398039,147.114,74510.2,2064.75,3720.16,63.1121,140.345,99.0287,10.6681,3.73672,1.25087,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
9,447767,147.114,74510.2,2048.83,3662.28,63.1783,140.741,99.3283,10.6721,3.70994,1.24209,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
10,497487,147.114,74510.2,2031.76,3593.5,63.4979,141.273,99.6156,10.6804,3.68329,1.23314,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
11,547175,165.249,74510.2,2015.76,3531.18,63.6726,142.066,99.8946,10.6896,3.65757,1.22468,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
12,596900,165.249,74510.2,2000.04,3469.51,63.6784,142.1,100.163,10.6983,3.63221,1.21644,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
13,646625,165.249,74510.2,1984.88,3412.47,64.2875,142.1,100.423,10.7048,3.60736,1.2083,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
14,696346,175.043,74510.2,1970.49,3359.49,65.49,142.118,100.672,10.7125,3.58342,1.2005,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
15,746035,186.687,74510.2,1956.73,3310.76,65.5183,142.119,100.913,10.7225,3.56,1.19264,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
16,795726,186.687,74510.2,1942.67,3256.99,65.6685,142.561,101.143,10.7334,3.53718,1.18515,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
17,845405,193.772,74510.2,1928.48,3200.98,66.1384,143.375,101.369,10.744,3.514,1.17757,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
18,895104,193.772,74510.2,1914.86,3149.72,66.4719,143.692,101.585,10.7555,3.49154,1.17013,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
19,944755,194.104,67745.6,1900.97,3095.07,66.4754,144.132,101.794,10.7666,3.46934,1.16278,134.985,90965.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
