time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,497594,113.796,85727.4,2108.61,4029.15,118.917,4.46691e+17,1.55753e+13,9.3521e+14,3.85052,1.28445,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
2,994609,98.8523,85727.4,2024.35,3779.69,119.373,4.48203e+17,1.59016e+13,9.4225e+14,3.74165,1.248,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
3,1490911,98.8523,85727.4,1950.71,3561.02,121.735,4.61195e+17,1.6255e+13,9.59482e+14,3.64073,1.2144,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
4,1986737,81.8115,81918.2,1883.72,3348.31,128.236,4.65741e+17,1.65435e+13,9.69523e+14,3.5465,1.18299,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
5,2482109,81.8115,80361.1,1824.29,3151.46,128.395,4.70698e+17,1.68465e+13,9.86567e+14,3.45931,1.15412,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
6,2977030,81.8115,80361.1,1771.17,2973.3,129.052,4.70711e+17,1.70867e+13,9.93318e+14,3.37744,1.12663,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
7,3471428,81.8115,80361.1,1724.77,2811.38,129.067,4.76701e+17,1.73562e+13,1.0071e+15,3.30234,1.10193,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
8,3965366,48.4252,80361.1,1683.18,2664.64,129.715,4.89834e+17,1.75782e+13,1.02225e+15,3.23262,1.0788,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
9,4458830,48.4252,80361.1,1645.61,2529.85,132.454,4.90301e+17,1.77641e+13,1.02749e+15,3.16757,1.05686,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
10,4951778,48.4252,78608.1,1611.48,2405.17,132.468,4.9063e+17,1.79221e+13,1.03047e+15,3.10681,1.03655,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
11,5444191,48.4252,78608.1,1580.72,2286.95,132.489,4.90714e+17,1.80852e+13,1.03498e+15,3.05044,1.01775,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
12,5936192,48.4252,76779,1553.4,2180.53,132.495,4.91065e+17,1.82237e+13,1.0374e+15,2.99854,1.00041,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
13,6427673,48.4252,76779,1528.84,2082.95,132.536,4.91183e+17,1.83431e+13,1.03901e+15,2.95044,0.984496,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
14,6918499,48.4252,76779,1507.36,1996.27,132.556,4.93839e+17,1.84694e+13,1.04348e+15,2.90621,0.969765,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
15,7408755,48.4252,76779,1487.84,1918.42,132.969,4.93853e+17,1.85847e+13,1.04753e+15,2.86498,0.955941,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
16,7898543,48.4252,76779,1470.09,1848.28,132.98,4.93857e+17,1.86883e+13,1.05011e+15,2.82683,0.943144,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
17,8387643,48.4252,76779,1454.06,1785.22,133.543,5.32318e+17,1.88235e+13,1.07014e+15,2.79153,0.931541,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
18,8876276,48.4252,76779,1440.17,1731.36,133.573,5.32353e+17,1.89058e+13,1.07222e+15,2.75938,0.920693,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
19,9364146,48.4252,73092.1,1427.31,1675.85,133.962,5.32381e+17,1.89848e+13,1.07386e+15,2.72964,0.910731,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
20,9851341,86.1541,68294.6,1415.76,1629.73,133.962,5.32388e+17,1.90668e+13,1.0766e+15,2.70191,0.901529,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
21,10337768,86.1541,68294.6,1405.11,1587.23,134.228,5.43851e+17,1.91464e+13,1.08331e+15,2.67639,0.89304,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
22,10823514,86.1541,67279.2,1395.59,1550.11,134.257,5.43854e+17,1.92117e+13,1.08495e+15,2.65309,0.885328,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
23,11308265,86.1541,67279.2,1387.02,1516.51,136.044,5.43855e+17,1.92732e+13,1.08835e+15,2.6315,0.878171,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
24,11792275,86.1541,67279.2,1378.92,1483.91,136.073,5.43884e+17,1.93402e+13,1.09333e+15,2.61127,0.87138,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
25,12275489,86.1541,67279.2,1371.6,1452.51,136.285,5.44028e+17,1.93902e+13,1.09532e+15,2.59294,0.865412,113.796,87055.2,0.01,0.99,-1,1000000,10,0.01,-2,0.01,100,90
