time,interactions,currentwealth.min,currentwealth.max,currentwealth.avg,currentwealth.sd,utility.min,utility.max,utility.avg,utility.sd,L2.sd.MRS,max.sd.MRS,initialwealth.min,initialwealth.max,alpha.min,alpha.max,activation.method,num.agents,num.commodities,trade.eps,termination_criterion,termination.eps,termination.time,termination.threshold
1,49763,133.281,92222.4,2115.63,4043.05,584.646,6.51358e+16,1.1866e+13,3.56824e+14,3.85962,1.29075,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
2,99466,132.598,92222.4,2030.36,3780.83,584.788,6.52437e+16,1.21313e+13,3.60572e+14,3.75141,1.25366,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
3,149092,132.598,71112.4,1958.66,3542.13,585.078,7.02189e+16,1.24327e+13,3.73768e+14,3.65381,1.2202,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
4,198642,132.598,71112.4,1888.88,3315.23,585.193,7.15471e+16,1.2671e+13,3.78824e+14,3.55831,1.18886,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
5,248187,132.598,71112.4,1832.09,3142.17,585.521,7.19139e+16,1.30586e+13,3.95313e+14,3.47197,1.15986,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
6,297701,113.982,71112.4,1778.9,2969.34,588.859,7.1915e+16,1.32566e+13,3.99988e+14,3.39115,1.13253,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
7,347130,113.982,71112.4,1731.94,2800.95,589.275,7.19151e+16,1.34688e+13,4.03986e+14,3.3162,1.10709,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
8,396559,113.982,71112.4,1689.69,2653.15,590.291,7.27044e+16,1.37084e+13,4.14963e+14,3.24535,1.08387,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
9,445930,113.982,71112.4,1652.06,2515.39,590.519,7.27121e+16,1.38673e+13,4.17791e+14,3.18046,1.06296,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
10,495201,111.158,71112.4,1616.43,2377.68,590.685,7.27755e+16,1.39867e+13,4.19462e+14,3.11971,1.04267,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
11,544444,111.158,71112.4,1585.61,2258.57,591.688,7.3616e+16,1.41448e+13,4.24712e+14,3.06376,1.02508,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
12,593639,111.158,71112.4,1556.59,2153.1,591.988,7.36164e+16,1.4271e+13,4.26308e+14,3.01084,1.00774,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
13,642754,111.158,71112.4,1532.81,2064.54,592.075,7.36182e+16,1.43689e+13,4.27442e+14,2.96294,0.99172,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
14,691840,111.158,71112.4,1511.33,1975.16,592.487,7.36213e+16,1.44776e+13,4.29051e+14,2.91861,0.977067,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
15,740925,111.158,71112.4,1491.73,1898.44,593.254,7.3649e+16,1.45751e+13,4.30531e+14,2.87753,0.963637,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
16,789935,125.32,71112.4,1472.36,1812.78,593.274,7.36504e+16,1.46771e+13,4.32854e+14,2.83811,0.950247,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
17,838809,122.695,71112.4,1456.84,1757.42,595.848,7.37815e+16,1.47813e+13,4.34768e+14,2.80302,0.938084,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
18,887703,122.695,71112.4,1441.82,1701.11,596.08,7.37815e+16,1.48646e+13,4.36412e+14,2.76976,0.92715,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
19,936450,125.369,71112.4,1429.21,1656.02,596.129,7.63775e+16,1.49462e+13,4.41284e+14,2.73987,0.916987,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
20,985145,136.359,71112.4,1418.17,1609.49,596.165,7.6395e+16,1.50153e+13,4.42143e+14,2.7129,0.90764,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
21,1033776,136.359,71112.4,1407.68,1569.9,596.181,7.63958e+16,1.50665e+13,4.43e+14,2.6873,0.898671,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
22,1082325,148.551,71112.4,1398,1531.07,596.602,7.64143e+16,1.51196e+13,4.4386e+14,2.66341,0.890723,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
23,1130756,159.841,71112.4,1389.87,1505.17,596.88,8.30785e+16,1.52341e+13,4.56612e+14,2.64241,0.883694,162.208,84826.5,0.01,0.99,-1,100000,10,0.01,-2,0.01,100,90
